이용일,"이용
시간",이용카드명,이용하신곳,"국내이용금액
(원)","해외이용금액
($)",결제방법,"가맹점
정보",할인금액,"적립(예상)
포인트리",상태,결제예정일,승인번호
2020-10-21,00:10,KB국민 nori 체크카드(RF),충전_카카오페이,19000,0,일시불,,0,0,전표매입,,30008888
2020-10-21,00:06,KB국민 nori 체크카드(RF),충전_카카오페이,9500,0,일시불,,0,0,승인취소,,30008877
2020-10-18,14:17,KB국민 nori 체크카드(RF),카카오_카카오페이,5995,0,일시불,,0,0,전표매입,,30008866
2020-10-17,16:23,KB국민 nori 체크카드(RF),GSSHOP,66410,0,일시불,스타샵(적립),0,52,전표매입,,30008856
2020-10-12,16:47,KB국민 nori 체크카드(RF),GSSHOP,37160,0,포인트리,스타샵(적립),0,29,전표매입,,30008823
2020-10-11,16:33,KB국민 nori 체크카드(RF),충전_카카오페이,2000,0,일시불,,0,0,전표매입,,30008811
2020-10-11,12:22,KB국민 nori 체크카드(RF),충전_카카오페이,5000,0,일시불,,0,0,전표매입,,30008800
2020-10-09,12:19,KB국민 nori 체크카드(RF),GSSHOP,20760,0,일시불,스타샵(적립),0,16,전표매입,,30008799
2020-10-07,22:04,KB국민 nori 체크카드(RF),(주)티몬_카카오페이,5800,0,일시불,,0,0,전표매입,,30008787
2020-10-06,00:37,KB국민 nori 체크카드(RF),카카오페이,2500,0,일시불,,0,0,전표매입,,30008774
2020-10-05,06:19,KB국민 nori 체크카드(RF),버스 5 건,5050,0,일시불,,0,0,전표매입,2020-10-20,47996199
2020-10-04,20:07,KB국민 nori 체크카드(RF),씨제이올리브네트웍스(주) 고양행신점,8900,0,일시불,,0,0,전표매입,,30008764
2020-10-02,19:44,KB국민 nori 체크카드(RF),씨유 행신중앙로점,2200,0,일시불,,0,0,전표매입,,30008753
2020-09-28,19:55,KB국민 nori 체크카드(RF),대표_카카오페이,2000,0,일시불,,0,0,전표매입,,30008743
2020-09-27,06:38,KB국민 nori 체크카드(RF),지하철 2 건,1350,0,일시불,,0,0,전표매입,2020-10-07,45491207
2020-09-27,05:46,KB국민 nori 체크카드(RF),버스 3 건,2850,0,일시불,,0,0,전표매입,2020-10-07,43177722
2020-09-27,15:43,KB국민 nori 체크카드(RF),투썸 홍대걷고싶은거리,5100,0,일시불,,0,0,전표매입,,30008739
2020-09-24,16:34,KB국민 nori 체크카드(RF),호산나약국,2900,0,일시불,,0,0,전표매입,,30008725
